Total packets,82439
,Protocol,Count
,ARP,50
,BOOTP,136
,DATA,60
,DATA-TEXT-LINES,86
,DNS,552
,EAPOL,12
,HTTP,362
,IGMP,9
,IMAGE-GIF,33
,IMAGE-JFIF,50
,JSON,15
,MDNS,34
,MEDIA,68
,MP4,2
,PNG,16
,SSL,17878
,TCP,63047
,URLENCODED-FORM,6
,XML,8
,_WS.MALFORMED,15

,Protocol,Percent
,ARP,0.060650905518
,BOOTP,0.164970463009
,DATA,0.0727810866216
,DATA-TEXT-LINES,0.104319557491
,DNS,0.669585996919
,EAPOL,0.0145562173243
,HTTP,0.43911255595
,IGMP,0.0109171629932
,IMAGE-GIF,0.0400295976419
,IMAGE-JFIF,0.060650905518
,JSON,0.0181952716554
,MDNS,0.0412426157523
,MEDIA,0.0824852315045
,MP4,0.00242603622072
,PNG,0.0194082897658
,SSL,21.686337777
,TCP,76.4771528039
,URLENCODED-FORM,0.00727810866216
,XML,0.00970414488288
,_WS.MALFORMED,0.0181952716554


,Protocol,Source IP,Destination IP,Count
,BOOTP,0.0.0.0,255.255.255.255,136
,DATA,104.16.23.190,192.168.2.3,1
,DATA,172.229.222.233,192.168.2.3,1
,DATA,173.194.133.134,192.168.2.3,2
,DATA,174.35.73.99,192.168.2.3,1
,DATA,192.168.2.3,74.125.21.188,19
,DATA,208.117.236.114,192.168.2.3,1
,DATA,216.58.219.206,192.168.2.3,1
,DATA,74.125.162.152,192.168.2.3,1
,DATA,74.125.21.188,192.168.2.3,29
,DATA-TEXT-LINES,157.166.238.142,192.168.2.3,1
,DATA-TEXT-LINES,157.166.248.229,192.168.2.3,1
,DATA-TEXT-LINES,157.166.249.67,192.168.2.3,1
,DATA-TEXT-LINES,172.217.3.1,192.168.2.3,1
,DATA-TEXT-LINES,172.217.4.46,192.168.2.3,1
,DATA-TEXT-LINES,172.217.4.66,192.168.2.3,1
,DATA-TEXT-LINES,172.217.5.2,192.168.2.3,1
,DATA-TEXT-LINES,172.229.210.55,192.168.2.3,1
,DATA-TEXT-LINES,172.229.214.12,192.168.2.3,3
,DATA-TEXT-LINES,172.229.228.12,192.168.2.3,1
,DATA-TEXT-LINES,172.229.233.57,192.168.2.3,2
