Total packets,72588
,Protocol,Count
,ARP,24
,BOOTP,77
,DATA,55
,DATA-TEXT-LINES,70
,DB-LSP-DISC,31
,DNS,736
,EAPOL,9
,HTTP,1122
,IGMP,10
,IMAGE-GIF,75
,IMAGE-JFIF,32
,JSON,137
,MDNS,69
,MEDIA,32
,PNG,7
,SSL,13550
,TCP,56439
,URLENCODED-FORM,4
,XML,99
,_WS.MALFORMED,10

,Protocol,Percent
,ARP,0.0330633162506
,BOOTP,0.106078139637
,DATA,0.075770099741
,DATA-TEXT-LINES,0.0964346723976
,DB-LSP-DISC,0.0427067834904
,DNS,1.01394169835
,EAPOL,0.012398743594
,HTTP,1.54571003472
,IGMP,0.0137763817711
,IMAGE-GIF,0.103322863283
,IMAGE-JFIF,0.0440844216675
,JSON,0.188736430264
,MDNS,0.0950570342205
,MEDIA,0.0440844216675
,PNG,0.00964346723976
,SSL,18.6669972998
,TCP,77.7525210779
,URLENCODED-FORM,0.00551055270844
,XML,0.136386179534
,_WS.MALFORMED,0.0137763817711


,Protocol,Source IP,Destination IP,Count
,BOOTP,0.0.0.0,255.255.255.255,77
,DATA,157.52.75.7,192.168.2.3,1
,DATA,173.194.134.201,192.168.2.3,1
,DATA,173.194.156.206,192.168.2.3,1
,DATA,173.194.68.188,192.168.2.3,31
,DATA,192.168.2.3,173.194.68.188,20
,DATA,52.84.122.42,192.168.2.3,1
,DATA-TEXT-LINES,148.251.188.8,192.168.2.3,2
,DATA-TEXT-LINES,157.166.249.67,192.168.2.3,1
,DATA-TEXT-LINES,172.217.3.2,192.168.2.3,1
,DATA-TEXT-LINES,172.217.4.194,192.168.2.3,1
,DATA-TEXT-LINES,172.229.209.43,192.168.2.3,1
,DATA-TEXT-LINES,172.229.214.12,192.168.2.3,1
,DATA-TEXT-LINES,172.229.225.157,192.168.2.3,4
,DATA-TEXT-LINES,174.129.249.36,192.168.2.3,1
,DATA-TEXT-LINES,176.32.103.187,192.168.2.3,1
,DATA-TEXT-LINES,184.26.44.97,192.168.2.3,1
,DATA-TEXT-LINES,184.73.235.214,192.168.2.3,2
,DATA-TEXT-LINES,192.243.250.16,192.168.2.3,1
,DATA-TEXT-LINES,192.243.250.36,192.168.2.3,1
,DATA-TEXT-LINES,199.27.76.175,192.168.2.3,1
,DATA-TEXT-LINES,23.21.52.141,192.168.2.3,1
,DATA-TEXT-LINES,23.23.137.37,192.168.2.3,1
,DATA-TEXT-LINES,23.23.222.251,192.168.2.3,2
,DATA-TEXT-LINES,23.235.46.73,192.168.2.3,1
,DATA-TEXT-LINES,23.67.250.153,192.168.2.3,1
,DATA-TEXT-LINES,23.67.251.17,192.168.2.3,2
,DATA-TEXT-LINES,50.116.194.21,192.168.2.3,1
,DATA-TEXT-LINES,52.1.145.160,192.168.2.3,1
,DATA-TEXT-LINES,52.200.207.5,192.168.2.3,2
,DATA-TEXT-LINES,52.22.33.111,192.168.2.3,1
,DATA-TEXT-LINES,52.7.181.179,192.168.2.3,1
,DATA-TEXT-LINES,52.84.122.135,192.168.2.3,2
,DATA-TEXT-LINES,52.84.125.94,192.168.2.3,2
,DATA-TEXT-LINES,54.239.26.167,192.168.2.3,2
,DATA-TEXT-LINES,54.239.27.48,192.168.2.3,1
,DATA-TEXT-LINES,54.243.174.202,192.168.2.3,1
,DATA-TEXT-LINES,63.117.14.212,192.168.2.3,2
,DATA-TEXT-LINES,64.20.243.242,192.168.2.3,1
,DATA-TEXT-LINES,64.202.112.7,192.168.2.3,1
,DATA-TEXT-LINES,64.74.232.43,192.168.2.3,1
,DATA-TEXT-LINES,74.119.118.100,192.168.2.3,3
,DATA-TEXT-LINES,74.217.63.59,192.168.2.3,1
,DATA-TEXT-LINES,8.43.72.32,192.168.2.3,1
,DB-LSP-DISC,192.168.2.1,192.168.2.255,31
,DNS,192.168.2.1,192.168.2.3,1
,DNS,192.168.2.3,192.168.2.1,1
,HTTP,104.16.109.236,192.168.2.3,1
,HTTP,104.16.24.235,192.168.2.3,1
,HTTP,107.20.151.12,192.168.2.3,1
,HTTP,107.21.208.110,192.168.2.3,1
,HTTP,109.239.110.104,192.168.2.3,1
,HTTP,152.163.51.2,192.168.2.3,2
,HTTP,152.163.64.2,192.168.2.3,2
,HTTP,162.208.22.35,192.168.2.3,1
,HTTP,162.208.22.36,192.168.2.3,1
,HTTP,172.217.2.2,192.168.2.3,1
,HTTP,172.217.4.194,192.168.2.3,2
,HTTP,172.229.210.55,192.168.2.3,1
,HTTP,172.229.214.12,192.168.2.3,1
,HTTP,172.229.222.223,192.168.2.3,1
,HTTP,174.36.220.228,192.168.2.3,2
,HTTP,184.26.44.95,192.168.2.3,1
,HTTP,184.26.44.97,192.168.2.3,6
,HTTP,184.73.173.77,192.168.2.3,1
,HTTP,184.73.198.130,192.168.2.3,1
,HTTP,192.168.2.3,104.16.24.235,1
,HTTP,192.168.2.3,104.16.27.190,1
,HTTP,192.168.2.3,107.20.151.12,1
,HTTP,192.168.2.3,107.21.208.110,1
,HTTP,192.168.2.3,107.22.236.9,1
,HTTP,192.168.2.3,109.239.110.104,1
,HTTP,192.168.2.3,138.108.6.20,1
,HTTP,192.168.2.3,138.108.7.20,1
,HTTP,192.168.2.3,148.251.188.8,2
,HTTP,192.168.2.3,152.163.51.2,2
,HTTP,192.168.2.3,152.163.64.2,2
,HTTP,192.168.2.3,157.166.238.237,1
,HTTP,192.168.2.3,157.166.249.67,2
,HTTP,192.168.2.3,162.208.22.35,1
,HTTP,192.168.2.3,162.208.22.36,1
,HTTP,192.168.2.3,162.248.19.154,1
,HTTP,192.168.2.3,167.114.174.35,2
,HTTP,192.168.2.3,172.217.2.2,1
,HTTP,192.168.2.3,172.217.2.6,1
,HTTP,192.168.2.3,172.217.3.2,1
,HTTP,192.168.2.3,172.217.4.194,3
,HTTP,192.168.2.3,172.229.209.43,2
,HTTP,192.168.2.3,172.229.210.55,1
,HTTP,192.168.2.3,172.229.214.12,1
,HTTP,192.168.2.3,172.229.222.223,2
,HTTP,192.168.2.3,172.229.225.157,4
,HTTP,192.168.2.3,172.229.228.216,1
,HTTP,192.168.2.3,172.229.233.57,1
,HTTP,192.168.2.3,174.129.249.36,1
,HTTP,192.168.2.3,174.35.73.109,1
,HTTP,192.168.2.3,174.36.220.228,2
,HTTP,192.168.2.3,176.32.103.187,1
,HTTP,192.168.2.3,184.26.44.105,1
,HTTP,192.168.2.3,184.26.44.106,1
,HTTP,192.168.2.3,184.26.44.95,1
,HTTP,192.168.2.3,184.26.44.97,1
,HTTP,192.168.2.3,184.73.158.180,1
,HTTP,192.168.2.3,184.73.173.77,1
,HTTP,192.168.2.3,184.73.198.130,1
,HTTP,192.168.2.3,184.73.235.214,2
,HTTP,192.168.2.3,192.243.250.16,2
,HTTP,192.168.2.3,192.243.250.36,1
,HTTP,192.168.2.3,199.16.156.75,1
,HTTP,192.168.2.3,199.244.49.45,1
,HTTP,192.168.2.3,199.27.76.175,3
,HTTP,192.168.2.3,199.27.76.68,6
,HTTP,192.168.2.3,199.96.57.6,1
,HTTP,192.168.2.3,209.197.3.7,1
,HTTP,192.168.2.3,212.58.244.17,1
,HTTP,192.168.2.3,212.58.244.67,1
,HTTP,192.168.2.3,23.107.60.242,1
,HTTP,192.168.2.3,23.15.8.97,6
,HTTP,192.168.2.3,23.21.52.141,5
,HTTP,192.168.2.3,23.23.137.37,1
,HTTP,192.168.2.3,23.23.222.251,2
,HTTP,192.168.2.3,23.23.99.254,1
,HTTP,192.168.2.3,23.235.39.81,1
,HTTP,192.168.2.3,23.235.46.73,10
,HTTP,192.168.2.3,23.44.117.39,1
,HTTP,192.168.2.3,23.67.250.153,3
,HTTP,192.168.2.3,23.67.251.17,2
,HTTP,192.168.2.3,23.67.251.40,3
,HTTP,192.168.2.3,31.13.71.12,1
,HTTP,192.168.2.3,31.13.71.7,2
,HTTP,192.168.2.3,46.137.112.33,1
,HTTP,192.168.2.3,46.236.9.36,1
,HTTP,192.168.2.3,50.116.194.21,1
,HTTP,192.168.2.3,50.17.222.202,6
,HTTP,192.168.2.3,50.19.227.142,1
,HTTP,192.168.2.3,52.1.145.160,3
,HTTP,192.168.2.3,52.11.29.182,192
,HTTP,192.168.2.3,52.20.246.43,1
,HTTP,192.168.2.3,52.20.97.18,14
,HTTP,192.168.2.3,52.200.207.5,4
,HTTP,192.168.2.3,52.201.107.48,1
,HTTP,192.168.2.3,52.22.158.44,1
,HTTP,192.168.2.3,52.22.245.238,7
,HTTP,192.168.2.3,52.22.33.111,6
,HTTP,192.168.2.3,52.27.8.169,1
,HTTP,192.168.2.3,52.3.34.104,2
,HTTP,192.168.2.3,52.38.49.76,112
,HTTP,192.168.2.3,52.4.240.219,1
,HTTP,192.168.2.3,52.5.185.141,1
,HTTP,192.168.2.3,52.5.41.187,2
,HTTP,192.168.2.3,52.7.181.179,6
,HTTP,192.168.2.3,52.70.39.146,2
,HTTP,192.168.2.3,52.70.67.85,3
,HTTP,192.168.2.3,52.73.109.235,1
,HTTP,192.168.2.3,52.73.182.32,2
,HTTP,192.168.2.3,52.73.245.246,1
,HTTP,192.168.2.3,52.73.51.20,2
,HTTP,192.168.2.3,52.73.86.239,1
,HTTP,192.168.2.3,52.84.122.12,1
,HTTP,192.168.2.3,52.84.122.135,4
,HTTP,192.168.2.3,52.84.122.42,2
,HTTP,192.168.2.3,52.84.125.136,5
,HTTP,192.168.2.3,52.84.125.249,1
,HTTP,192.168.2.3,52.84.125.94,2
,HTTP,192.168.2.3,52.84.130.179,1
,HTTP,192.168.2.3,52.86.8.246,1
,HTTP,192.168.2.3,52.89.181.40,1
,HTTP,192.168.2.3,52.9.92.185,1
