(highest, src_addr, src_port, dst_addr, dst_port): count
(IMAGE-JFIF, 172.229.233.57, 80, 192.168.2.3, 47564): 2
(SSL, 192.168.2.3, 41101, 52.84.121.108, 443): 3
(IMAGE-JFIF, 172.229.233.57, 80, 192.168.2.3, 47368): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 46350): 1
(SSL, 192.168.2.3, 55056, 172.217.4.46, 443): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 48438): 1
(TCP, 52.8.154.85, 80, 192.168.2.3, 46298): 2
(TCP, 54.239.22.50, 80, 192.168.2.3, 42009): 2
(TCP, 137.117.40.85, 443, 192.168.2.3, 55312): 6
(TCP, 204.154.110.245, 443, 192.168.2.3, 37983): 4
(TCP, 192.168.2.3, 34880, 172.217.4.38, 443): 7
(HTTP, 192.168.2.3, 57616, 199.16.156.11, 80): 1
(SSL, 192.168.2.3, 45475, 176.32.103.187, 443): 3
(SSL, 216.58.219.238, 443, 192.168.2.3, 37495): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 19841): 1
(DNS, 192.168.2.3, 1186, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 35456, 172.217.5.14, 443): 1
(IMAGE-GIF, 52.33.219.196, 80, 192.168.2.3, 35016): 1
(SSL, 192.168.2.3, 44273, 172.229.222.233, 443): 3
(SSL, 192.168.2.3, 41312, 52.72.152.84, 443): 4
(DNS, 192.168.2.3, 46717, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 33831, 172.217.4.33, 443): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 17506): 1
(TCP, 54.239.25.200, 443, 192.168.2.3, 54674): 5
(SSL, 192.168.2.3, 40056, 54.239.22.50, 443): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 23151): 1
(TCP, 172.217.3.1, 443, 192.168.2.3, 51488): 4
(TCP, 54.239.24.185, 443, 192.168.2.3, 43233): 5
(TCP, 199.27.76.98, 443, 192.168.2.3, 40164): 3
(TCP, 192.168.2.3, 47056, 74.120.148.195, 80): 3
(TCP, 138.108.7.20, 443, 192.168.2.3, 48377): 5
(DNS, 192.168.2.3, 38859, 192.168.2.1, 53): 1
(SSL, 216.58.219.206, 443, 192.168.2.3, 41714): 9
(SSL, 216.58.219.225, 443, 192.168.2.3, 49325): 405
(IMAGE-JFIF, 54.240.190.108, 80, 192.168.2.3, 38195): 4
(TCP, 192.168.2.3, 51380, 216.58.219.193, 443): 5
(TCP, 138.108.7.20, 443, 192.168.2.3, 48481): 32
(MEDIA, 172.229.214.12, 80, 192.168.2.3, 56136): 1
(DNS, 192.168.2.3, 31451, 192.168.2.1, 53): 1
(IMAGE-GIF, 54.235.195.128, 80, 192.168.2.3, 35039): 3
(SSL, 216.58.219.193, 443, 192.168.2.3, 34095): 3
(SSL, 216.58.219.193, 443, 192.168.2.3, 52207): 7
(_WS.MALFORMED, 157.166.248.229, 80, 192.168.2.3, 58204): 1
(TCP, 192.168.2.3, 52117, 207.171.162.130, 443): 9
(TCP, 172.217.2.13, 443, 192.168.2.3, 60949): 3
(SSL, 23.203.54.220, 443, 192.168.2.3, 54200): 5
(TCP, 192.168.2.3, 39036, 23.15.8.64, 80): 3
(TCP, 172.217.3.14, 443, 192.168.2.3, 46946): 6
(TCP, 63.117.14.14, 443, 192.168.2.3, 45861): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 33983): 1
(IMAGE-JFIF, 54.240.190.108, 80, 192.168.2.3, 46766): 5
(DATA-TEXT-LINES, 23.37.13.125, 80, 192.168.2.3, 38826): 1
(TCP, 172.217.5.14, 443, 192.168.2.3, 52122): 7
(TCP, 192.168.2.3, 34095, 216.58.219.193, 443): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 64405): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 16866): 1
